# patterns: 10
#      x1        x2        x3        x4        x5        x6        x7        x8        x9       x10           y
  5.03800  -9.59690   5.60993  -1.18243  -0.95779  -7.46030  -8.23987  -6.96355   6.05941   1.17025   111.31914
  2.22802   1.90442  -8.88582  -6.29559   6.71617   1.28940  -9.24163   0.75831  -7.83095  -0.66526   362.62635
  0.59632  -6.73714   3.24675  -0.83827   2.42437   6.38592  -5.02738  -9.90179  -7.58034   4.89660   616.60069
  2.12652   7.81438  -2.93123  -7.05271   8.23107   6.32061   1.57974   8.79410  -1.85332   1.57527   101.06023
 -7.42422   2.48703  -2.03028  -1.38551   3.45746  -6.31749  -1.39862  -7.71157  -0.73337  -4.46912   351.16128
 -0.44333   8.33801   1.60598  -3.78767   5.29933  -9.64259   0.69566  -6.80770   0.43220   4.22793   324.07452
  2.86120  -4.33554  -2.75633   3.87574  -0.92318  -9.81279  -9.73935   9.32900   3.11037  -7.37448  -547.64647
  6.45150  -7.41485   7.49066  -9.65892  -8.22795  -3.47715   2.23125   7.63835  -3.92069  -9.43625  -624.84249
 -9.61918   8.70522   6.85910  -4.68856   7.18671  -7.34966  -1.94696   1.17181   5.10922  -6.95713    39.47492
 -0.84280  -4.35661   6.99176  -5.67810  -8.96440  -2.79699   1.87939   4.29893  -0.94613  -0.20884  -646.89316
